en,tr,pos,emoji,yuksek_getiri,syn,kaynaklar,cikmis_tekrar,cikmis_donemler,grup,example,exampleTr,tier
"disputable","Tartışmaya açık","adj","⚔️",0,"Arguable; debatable","Modadil 1080",0,"",23,"The decision that NASA made about new space program is disputable.","NASA'nın yeni uzay programı hakkında vermiş olduğu karar tartışmaya açıktır.",1
"end up with","-ile sonuçlanmak","phrasal","🏁",0,"Result in; wind up with","Modadil 1080; Modadil Yapılar",0,"",23,"New attempts to curb malnutrition in Africa have ended up with failure.","Afrika'daki yetersiz beslenmeyi azaltmaya yönelik yeni girişimler başarısızlıkla sonuçlandı.",1
"excessive","Aşırı, çok fazla","adj","🌊",0,"Extreme; too much","Modadil 1080; Koç havuzu",0,"",23,"Excessive exposure to ultraviolet radiation is linked to a number of health problems.","Ultraviyole radyasyona aşırı maruz kalma, bir takım sağlık sorunları ile bağlantılıdır.",1
"exhibit","Göstermek, sergilemek","v","🖼️",1,"Show; display; demonstrate","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2024-2",23,"People with chronic headaches exhibit high sensitivity to pain.","Kronik baş ağrısı olan insanlar acıya karşı aşırı hassasiyet gösterir.",1
"habitable","Yaşanabilir","adj","🏡",0,"Liveable; fit to live","Modadil 1080",0,"",23,"Astronomers have discovered 7 Earth-sized habitable planets.","Gökbilimciler, Dünya büyüklüğünde yaşanabilir 7 gezegen keşfettiler.",1
"imply","İşaret etmek, ima etmek","v","💬",1,"Suggest; indicate; hint","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2023-1",23,"Edwin Hubble's idea seems to imply that there may have been a great explosion in space before the creation of the galaxies","Edwin Hubble'ın fikri, galaksilerin oluşmasından önce uzayda büyük bir patlama meydana gelmiş olabileceğine işaret ediyor gibi görünüyor.",1
"magnificent","Görkemli, muhteşem, gösterişli","adj","🤩",0,"Wonderful; splendid; glorious","Modadil 1080",0,"",23,"The magnificent Philippine eagle is one of the planet's most extinct birds.","Görkemli Filipin kartalı, gezegenin en soyu tükenmekte olan kuşlarından biridir.",1
"overlook","Görmezden gelmek","v","🙈",1,"Ignore; neglect","Modadil 1080; Çıkmış sorular",1,"2021-1",23,"The sad truth is, turtles are often overlooked in the fossil record.","Üzücü gerçek şu ki, kaplumbağalar fosil kayıtlarında sıklıkla görmezden gelinir.",1
"purify","Arıtmak, saflaştırmak","v","💧",1,"Cleanse; decontaminate","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2022-1",23,"Some chemicals are used to purify the water.","Bazı kimyasallar, suyu temizlemek için kullanılır.",1
"regarding","İle ilgili olarak, hakkında","yapı","📎",0,"Concerning; about; as to","Modadil 1080",0,"",23,"Public health strategies regarding nutrition are based largely on a biomedical model of diet.","Beslenme ile ilgili halk sağlığı stratejileri büyük oranda bir biyomedikal diyet modeline dayanmaktadır.",1
"tackle","Üstesinden gelmek, uğraşmak, mücadele etmek","v","🤼",1,"Deal with; cope with; handle; overcome","Modadil 1080; Çıkmış sorular",2,"2018-1; 2021-1",23,"Governments encouraged urban managers to tackle climate change.","Hükümetler, kent yöneticilerini iklim değişikliğiyle mücadele etmeye teşvik etmektedir",1
"trigger","Tetiklemek, sebep olmak","v","🔫",1,"Activate; cause; generate","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",4,"2021-1; 2021-2; 2022-1; 2023-1",23,"The Canadian quake triggered off several smaller ones as far as Nevada.","Kanada'da meydana gelen deprem, Nevada'ya kadar daha küçük olan depremleri tetikledi",1
"vertical","Dik, dikey","adj","↕️",0,"Upright","Modadil 1080",0,"",23,"The balance of the aircraft is maintained through the vertical stabilizer","Uçağın dengesi dikey stabilize ile muhafaza edilir.",1
"volume","Hacim","n","📦",0,"Capacity; cubic measure","Modadil 1080; Koç havuzu",0,"",23,"Compressibility is the ability to be squeezed into a smaller volume by the application of pressure.","Sıkıştırılabilirlik, basınç uygulayarak daha küçük bir hacme sıkıştırılabilme kabiliyetidir.",1
"accelerate","Hızlan(dır)mak","v","🏎️",1,"Expedite; speed up","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2022-1; 2025-1",24,"Humans often accelerate soil erosion through poor soil management practices.","İnsanlar kötü toprak yönetimi uygulamalarıyla toprak erozyonunu hızlandırıyor.",1
"affluent","Zengin, gelişmiş","adj","🤑",0,"Rich; wealthy; prosperous","Modadil 1080",0,"",24,"Scientific issues are more popular in affluent societies.","Bilimsel meseleler zengin toplumlarda daha popülerdir.",1
"aversion","Hoşlanmama, sevmeme, kaçınma","n","🤢",0,"Dislike; hatred","Modadil 1080",0,"",24,"Our sense of smell is also a big influence on food aversions.","Koku alma duyumuz yiyecekleri sevmeme üzerinde büyük bir etkendir.",1
"commence","Başla(t)mak","v","🏁",0,"Start; begin; embark on","Modadil 1080",0,"",24,"We will commence field research in August of next year.","Gelecek yılın Ağustosunda saha araştırmalarına başlayacağız.",1
"consist of","-den oluşmak","v","🧩",1,"Be made up of; be composed of","Modadil 1080; Modadil Yapılar; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2021-1; 2021-2",24,"The Viking Space Mission consisted of two spacecraft.","Viking Uzay Görevi iki uzay aracından oluşuyordu.",1
"constitute","Oluşturmak, teşkil etmek","v","🧱",1,"Comprise; make up","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2025-1",24,"Electric heating constitutes 7 percent of the total consumption of electricity.","Elektrikli ısıtma toplam elektrik tüketiminin yüzde 7'sini oluşturur.",1
"delicate","Hassas, nazik, zarif","adj","🌸",1,"Weak; fragile","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-1; 2022-2",24,"In Italy, a new system has been installed to automate the surveillance of delicate shipments.","İtalya'da hassas gönderilerin otomatik olarak izlenmesi için yeni bir sistem kuruldu.",1
"dense","Yoğun","adj","🌲",1,"Thick","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-2; 2023-1",24,"The aircraft disappeared in dense fog.","Uçak yoğun siste ortadan kayboldu.",1
"deplete","Tükenmek, bitmek, boşaltmak","v","🪫",1,"Expend; use up; exhaust","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2021-1",24,"Agricultural irrigation systems have depleted the hippos' habitats.","Tarımsal sulama sistemleri, suaygırlarının yaşam alanlarını tüketti.",1
"durability","Dayanıklılık","n","🛡️",0,"Toughness; sturdiness","Modadil 1080; Zafer Hoca; Koç havuzu",0,"",24,"Safety and durability are inevitable for all flying vehicles.","Emniyet ve dayanıklılık, uçan araçlar için vazgeçilmezdir.",1
"erratic","Düzensiz, dengesiz","adj","🌀",0,"Inconsistent; irregular","Modadil 1080",0,"",24,"He said that erratic sleep and diet may not be causally related.","Düzensiz uyku ve beslenme biçiminin nedensel olarak ilişkili olmayabileceğini söyledi.",1
"execute","İcra etmek, uygulamak","v","▶️",1,"Carry out; perform; implement","Modadil 1080; Çıkmış sorular",1,"2025-2",24,"Emergency procedures should have been executed in a timely manner.","Acil durum prosedürleri zamanında uygulanmalıydı.",1
"germination","Çimlenme","n","🌱",0,"Start growing from seed","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2018-1",24,"After germination, the plant embryo is nourished by food stored in the seed.","Çimlenmeden sonra, bitki embriyo tohumda depolanan yiyeceklerle beslenir.",1
"glacier","Buzul","n","🧊",1,"A large mass of ice; iceberg","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2024-2; 2025-1",24,"The glaciers in the mountains of Europe now are melting due to global warming.","Avrupa'nın dağlarındaki buzullar artık küresel ısınmadan dolayı eriyor.",1
"impair","Zarar vermek, bozmak","v","🩼",1,"Damage; harm","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2021-1; 2023-2",24,"Altering the genes of songbirds impairs the ability to imitate songs.","Ötücü kuşların genlerinin değiştirilmesi şarkıyı taklit etme yeteneğine zarar verir.",1
"instantaneous","Ani, hemen","adj","⚡",0,"Prompt; rapid; sudden; immediate","Modadil 1080",0,"",24,"The effects of Fukushima nuclear disaster were almost instantaneous.","Fukushima nükleer felaketinin etkileri neredeyse ani idi.",1
"reveal","Ortaya koymak, açığa kavuşturmak","v","🎭",1,"Unveil; divulge; disclose","Modadil 1080; Çıkmış sorular; Koç havuzu",6,"2021-2; 2022-1; 2023-1; 2024-2; 2025-1; 2025-2",24,"A new hypothesis reveals the process by which the continents were formed.","Yeni hipotez, kıtaların şekillendiği süreci ortaya koymaktadır.",1
"solid","Katı","adj","🧊",1,"Hard; rigid","Modadil 1080; Çıkmış sorular; Zafer Hoca",2,"2021-1; 2021-2",24,"Matter exists in one of three states: solid, liquid, or gas.","Madde üç halden birinde bulunur: katı, sıvı veya gaz.",1
"suggest","İşaret etmek, belirtmek","v","💡",1,"Indicate; propose; put forward","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2024-2",24,"Recent research suggests that a major earthquake may influence the time and place of subsequent earthquakes.","Yakın tarihli araştırmalar, büyük bir depremin sonraki depremlerin zaman ve yerini etkileyebileceğini göstermektedir.",1
"sustain","Sürdürmek, ayakta tutmak","v","🤲",1,"Maintain; continue; keep up","Modadil 1080; Çıkmış sorular; Koç havuzu",4,"2021-2; 2023-2; 2024-2; 2025-1",24,"It seems that Samsung Mobile will sustain its profitability.","Samsung Mobile üretkenliğini sürdürecek gibi görünüyor.",1
"enlighten","Aydınlatmak, öğretmek, bilgi vermek","v","💡",0,"Explain; clarify; inform; notify","Modadil 1080",0,"",25,"A professor from university will enlighten us on the subject of Nuclear energy.","Üniversiteden bir profesör bizi Nükleer enerji konusunda aydınlatacak.",1
"ensure","Garantiye almak, emin olmak, sağlamak","v","🔒",1,"Make sure; make certain; guarantee","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2022-1; 2022-2; 2023-2",25,"Automatic control ensures coordination between the systems in the lab.","Otomatik kontrol, laboratuardaki sistemler arasında eşgüdüm sağlar",1
"excavation","Kazı","n","⛏️",0,"Digging; archaeological site","Modadil 1080; Zafer Hoca",0,"",25,"Two female fossils were found in the excavations in Russia.","Rusya'daki kazılarda iki kadın fosili bulundu",1
"exploitation","Sömürü, kullanma, faydalanma","n","⛓️",0,"Utilization; taking advantage; misuse","Modadil 1080; Çıkmış sorular",1,"2022-1",25,"Humans set fires for many reasons, such as for agricultural exploitation.","İnsanlar, tarımsal faydalanma gibi birçok neden için yangın çıkarırlar.",1
"fulfill","Uygulamak, gerçekleştirmek, yerine getirmek","v","✔️",1,"Carry out; accomplish; implement; execute","Modadil 1080; Çıkmış sorular",1,"2021-2",25,"Climate experts said Brazil now needs to work on a plan to fulfill its pledges.","İklim uzmanları, Brezilya'nın taahhütlerini gerçekleştirmek için bir plan üzerinde çalışması gerektiğini söyledi.",1
"gravity","Yerçekimi","n","🍎",1,"The force that attracts a body towards the centre of the earth","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",6,"2018-1; 2021-2; 2022-2; 2023-2; 2024-2; 2025-1",25,"Physics has found only four forces in nature: gravity, electromagnetism, weak nuclear, and strong nuclear","Fizik doğada sadece dört güç buldu: yerçekimi, elektromanyetizma, zayıf nükleer ve güçlü nükleer.",1
"humidity","Nem, rutubet","n","💧",0,"Moisture; dampness","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2025-2",25,"High rainfall, mild winters and and humidity are good for rain forests.","Yüksek yağış, hafif kışlar ve nem, yağmur ormanları için iyidir.",1
"initiate","Başlatmak, girişmek","v","🎬",0,"Start; begin; commence","Modadil 1080; Koç havuzu",0,"",25,"Reforestation programs are being initiated by governments in a number of countries.","Ağaçlandırma programları birçok ülkede hükümetler tarafından başlatılıyor",1
"innovation","Yenilik, buluş","n","💡",0,"Novelty; invention; revolution","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2022-1",25,"Cost-cutting innovations in the biologic production pipeline are needed.","Biyolojik üretim hattında maliyet azaltma yeniliklerine ihtiyaç vardır.",1
"lineage","Soy, köken","n","🌳",0,"Ancestry; family","Modadil 1080; Koç havuzu",0,"",25,"The 2.8m-year-old human lineage jaw bone fossil was found in the Afar region Ethiopia.","2.8 milyon yaşındaki insan kökenli çene kemik fosili Etiyopya'da Afar bölgesinde bulundu",1
"mean","Anlamına gelmek","v","🟰",0,"Signify; denote","Modadil 1080",0,"",25,"Anaerobic means ""living in the absence of oxygen.","Anaerobik ""oksijen olmadan yaşamak"" anlamına gelir",1
"obstacle","Mani, engel","n","🚧",0,"Difficulty; hindrance; impediment","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2022-1",25,"Scientists thought ultraviolet radiation was an obstacle to emerging life.","Bilim adamları, ultraviyole radyasyonun ortaya çıkan yaşam için bir engel olduğuna inanıyorlardı.",1
"phase","Safha, aşama","n","🌓",0,"Stage","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2025-2",25,"Diamond is a crystalline phase of carbon formed at very high pressures","Elmas, çok yüksek basınçlarda oluşan karbonun kristalize aşamasıdır.",1
"prejudice","Ön yargı, peşin hüküm","n","⚖️",0,"Bias; prejudgment","Modadil 1080",0,"",25,"Science is the best way of overcoming our prejudices and learning new things.","Bilim, önyargılarımızı yenmenin ve yeni şeyler öğrenmenin en iyi yoludur.",1
"refinement","Arıtma, geliştirme","n","✨",0,"Purification; cleansing","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2025-2",25,"This process does not require the three-step refinement needed to produce steel from ore.","Bu işlem, cevherden çelik üretimi için üç aşamalı arıtmayı gerektirmez.",1
"rigid","Sert, eğilmez","adj","🧊",0,"Unbending; inflexible; stiff","Modadil 1080; Koç havuzu",0,"",25,"The physicist Max Born was the first to develop a relativistic theory of the rigid electron.","Fizikçi Max Born katı elektronun göreceli teorisini geliştiren ilk kişi oldu.",1
"specimen","Örnek, numune","n","🔬",0,"Sample; example","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2024-2",25,"A few test specimens might arrive at the lab in the next few weeks.","Birkaç test örneği, önümüzdeki birkaç hafta içinde laboratuvara ulaşabilir.",1
"spread","Dağılmak, yayılmak","v","🗺️",1,"Disperse; distribute","Modadil 1080; Çıkmış sorular",7,"2021-1; 2021-2; 2022-1; 2022-2; 2023-1; 2024-2; 2025-2",25,"The method aims to reduce mosquito populations that spread Zika and other viruses","Yöntem, Zika ve diğer virüsleri yayan sivrisinek popülasyonlarının azaltılmasını amaçlıyor.",1
"validity","Geçerlilik","n","✔️",0,"Soundness; reasonableness; rationality","Modadil 1080; Çıkmış sorular",1,"2023-1",25,"The principles of validity and reliability are fundamental cornerstones of a scientific method.","Geçerlilik ve güvenilirlik ilkeleri bilimsel bir methodun temel taşlarıdır",1
"accumulate","Toplamak, birik(tir)mek","v","📚",1,"Amass; collect; gather; pile up","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2018-1; 2021-1; 2023-2",26,"Magma accumulates in a reservoir beneath a caldera formed during a violent eruption.","Magma, şiddetli bir patlama sırasında oluşan bir kalderanın altında bir rezervuarda birikir.",1
