ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
372,EXPERIMENT (n),EXPERIMENT (n),Deney,"Trial, test",The results of the experiment surprised everyone,Deneyin sonuçları herkesi şaşırttı.,19,-,-,0
373,FATAL (adj),FATAL (adj),"Ölümcül, öldürücü","Deadly, lethal",Contamination in regions where the food industry is common could become fatal.,Gıda endüstrisinin yaygın olduğu bölgelerdeki kirlilik ölümcül olabilir.,19,-,-,0
374,FLOODING (n),FLOODING (n),"Sel, su baskını","Deluge, torrent",A massive flooding may have wiped out the dinosaurs in India.,"Büyük bir sel, Hindistan'daki dinozorları yok etmiş olabilir.",19,-,-,0
375,INDICATE (v),INDICATE (v),"İşaret etmek, belirtmek, göstermek","Point out, suggest, show",Statistics indicate that surface mining is less hazardous.,"İstatistikler, yüzey madenciliğinin daha az tehlikeli olduğunu göstermektedir.",19,-,-,0
376,INQUIRY (n),INQUIRY (n),"Anket, sorgulama, tahkikat","Analysis, survey, investigation","Science is based on inquiry, observation and exploration.","Bilim, sorgulama, gözlem ve keşife dayanır.",19,-,-,0
377,LIGHTNING (n),LIGHTNING (n),"Şimşek, yıldırım",Flash of light in the sky,Lightning begins as a small spark in a thundercloud and then travels towards the Earth.,"Yıldırım, gök gürültülü bir kıvılcımla başlar ve sonra Dünya'ya doğru yol alır.",19,-,-,0
378,PERSISTENT (adj),PERSISTENT (adj),"Kalıcı, devamlı","Constant, permanent, lasting",The persistent prevailing winds blowing over the oceans produce ocean currents.,Okyanuslarda esen kalıcı hakim rüzgarlar okyanus akıntıları üretir.,19,-,-,0
379,THREAT (n),THREAT (n),"Tehdit, gözdağı","Danger, risk, hazard, menace",Oil spills are the primary threat to the lives of sea creatures on Australian coasts,"Petrol sızıntıları, Avustralya kıyılarındaki deniz canlılarının yaşamları için başlıca tehdittir.",19,-,-,0
380,VERIFY (v),VERIFY (v),"Doğrulamak, kanıtlamak, teyit etmek","Confirm, prove, validate",More scientific evidence is needed to verify ozone depletion.,Ozon tabakasının delinmesini teyit etmek için daha fazla bilimsel kanıt gerekmektedir.,19,-,-,0
381,ADVERSE (adj),ADVERSE (adj),"Ters, olumsuz","Unfavorable, unpleasant",Severe climatic conditions could have adverse impacts on vegetation.,"Şiddetli iklim koşulları, bitki örtüsü üzerinde olumsuz etkilere neden olabilir.",20,-,-,0
382,ALTITUDE (n),ALTITUDE (n),"İrtifa, rakım, yükseklik","Height, elevation","The atmosphere thins out at a surprising rate, dropping in density by about 1% for each 100 meters in altitude.","Atmosfer, yoğunluğunun her 100 metre yükseklikte yaklaşık %1 oranında azalmasıyla, şaşırtıcı bir hızla incelir",20,-,-,0
383,AMPLIFICATION (n),AMPLIFICATION (n),"Kuvvetlendirme, yükseltme, artış","Intensification, strengthening, augmentation, extension",The amplification of seismic waves all over the world arouses concerns.,Dünyanın her yerindeki sismik dalgaların artışı kaygı uyandırıyor.,20,-,-,0
384,CRASH (n),CRASH (n),"Çarpışma, kaza","Collision, accident",The crash was caused by a buildup of ice on the wings of the plane.,"Kaza, uçağın kanatlarında buz birikmesinden meydana geldi.",20,-,-,0
385,DISASTER (n),DISASTER (n),"Afet, felaket","Catastrophe, calamity",The disaster at the Fukushima Daiichi in Japan damaged the ecosystem.,"Japonya'da Fukushima Daiichi'deki felaket, ekosistemi tahrip etti.",20,-,-,0
386,EARTHQUAKE (n),EARTHQUAKE (n),"Deprem, sarsıntı","Tremor, shaking",Each number on the Richter scale represents an earthquake.,Richter ölçeğinde bulunan her sayı bir depremi gösterir.,20,-,-,0
387,EFFICIENCY (n),EFFICIENCY (n),"Verimlilik, etkililik","Effectiveness, productivity",Reflection of light has an adverse effect on the efficiency of solar panels.,"Işık yansıması, güneş panellerinin verimliliği üzerinde olumsuz bir etkiye sahiptir.",20,-,-,0
388,EVOLUTION (n),EVOLUTION (n),"Evrim, gelişim","Development, growth, progress",Human evolution will allow humans to live in the extreme conditions of space.,"İnsanın evrimi, insanın uzayın zor koşullarında yaşamasına imkan sağlayacaktır.",20,-,-,0
389,HARMFUL (adj),HARMFUL (adj),Zararlı,"Damaging, dangerous, destructive, detrimental",Humans use chemicals to get rid of harmful plants growing among agricultural crops.,İnsanlar tarımsal ürünler arasında yetişen zararlı bitkilerden kurtulmak için ,20,-,-,0
390,HAZARD (n),HAZARD (n),"Tehlike, risk","Danger, threat, risk, peril",Studies have shown that radiation in deep space poses deadly hazards to astronauts.,"Araştırmalar, uzayın derinliğindeki radyasyonun astronotlara ölümcül tehlikeler getirdiğini gösteriyor.",20,-,-,0
391,LESSEN (v),LESSEN (v),"Azaltmak, hafifletmek","Lower, reduce",Collecting and using water more efficiently would lessen the need for more dams.,"Suyu daha verimli bir şekilde toplamak ve kullanmak, daha fazla baraja olan ihtiyacı azaltacaktır.",20,-,-,0
392,MITIGATE (v),MITIGATE (v),"Hafifletmek, azaltmak","Alleviate, diminish",Some countries try to mitigate the worst effects of climate change.,Bazı ülkeler iklim değişikliğinin en kötü etkilerini azaltmaya çalışmaktadır.,20,-,-,0
393,POLLUTE (v),POLLUTE (v),Kirletmek,Contaminate,"Due to waste gases that pollute the atmosphere, the world’s climate has become much warmer.","Atmosferi kirleten atık gazlar nedeniyle, dünyanın iklimi çok daha sıcak hale geldi.",20,-,-,0
394,REGARDLESS of (prep),REGARDLESS of (prep),-e bakılmaksızın,Irrespective of,"Regardless of the method, searching for gold and other minerals is dangerous.","Yönteme bakılmaksızın, altın ve diğer mineralleri aramak tehlikelidir.",20,-,-,0
395,SENSIBLE (adj),SENSIBLE (adj),"Akla uygun, mantıklı","Reasonable, plausible, logical",The factors affecting the sensible heat flux are the wind velocity and the air-sea temperature difference.,Makul ısı akışını etkileyen faktörler rüzgar hızı ve hava-deniz sıcaklığı farkıdır.,20,-,-,0
396,STABILITY (n),STABILITY (n),"Kararlılık, istikrar","Constancy, steadiness","When a great number of species becomes extinct, the stability of the ecosystem is threatened.","Çok sayıda tür yok olduğunda, ekosistemin istikrarı tehdit altındadır.",20,-,-,0
397,UNDENIABLE (adj),UNDENIABLE (adj),"İnkar edlemez, kesin","Irrefutable, indisputable",The damaging effects of plastic waste on the environment are undeniable.,Plastik atıkların çevre üzerindeki zararlı etkileri inkar edilemez.,20,-,-,0
398,UNSTABLE (adj),UNSTABLE (adj),"İstikrarsız, kararsız"," Irrational, ambiguous",Conditions in the mine were so unstable.,Madende bulunan koşullar çok istikrarsızdı.,20,-,-,0
399,URGE (v),URGE (v),"Tavsiye etmek, zorlamak","Advise, recommend, suggest, force",They urge local authorities to intervene in environmental disasters.,Yerel yetkilileri çevre felaketlerine müdahaleye zorluyorlar.,20,-,-,0
400,VISIBILITY (n),VISIBILITY (n),"Görüş mesafesi, görünürlük","Sight, vision",Helicopter was unable to take rescue teams due to poor visibility in the area.,Helikopter bölgedeki zayıf görüş nedeniyle kurtarma ekiplerini alamadı.,20,-,-,0
401,ADJUST (v),ADJUST (v),"Ayarlamak, uyum sağlamak","Modify, regulate, adapt",It takes time for some systems in the body to adjust to the conditions in space.,Vücuttaki bazı sistemlerin uzaydaki koşullara uyum sağlamaları zaman alır.,21,-,-,0
402,ALLEGE (v),ALLEGE (v),"İddia etmek, ileri sürmek","Assert, claim, maintain",Statistics allege extreme flooding jeopardize public safety,İstatistikler aşırı sel baskınlarının kamu güvenliğini tehlikeye attığını iddia ediyor.,21,-,-,0
403,APPROVAL (n),APPROVAL (n),"Tasvip, onay","Acceptance, agreement",All kinds of scientific experiments were subject to the approval of the committee.,Her türlü bilimsel deney komitenin onayına tabiydi.,21,-,-,0
404,ARID (adj),ARID (adj),"Verimsiz, çorak, kuru","Dry, waterless, infertile, barren",A desert lizard survives in arid conditions by drinking water from puddles.,"Bir çöl kertenkelesi, kurak koşullarda su birikintilerinden su içerek hayatta kalır.",21,-,-,0
405,BE COMPOSED of (v),BE COMPOSED of (v),-den oluşmak,"Consist, be made up of, comprise",A human gene is composed of two groups of 23 chromosomes,Bir insan geni 23 kromozomluk iki gruptan oluşur.,21,-,-,0
406,DEPENDENCE (n),DEPENDENCE (n),"Gereksinim, bel bağlama","Reliance, addiction, need",There is still much dependence in the paper industry on the use of wood pulp.,Kağıt endüstrisinde odun hamuru kullanımına halen çok fazla bağımlılık bulunmaktadır.,21,-,-,0
407,DISAPPEARANCE (n),DISAPPEARANCE (n),"Yok olma, gözden kaybolma","Vanishing, fading, loss","The disappearance of a single species is not dramatic but when a second or third become extinct, the stability of the ecosystem is threatened.","Tek bir türün yok olması etkili değildir, ancak ikinci veya üçüncü nesiller tükendiğinde ekosistemin istikrarı tehdit altındadır.",21,-,-,0
408,EQUILIBRIUM (n),EQUILIBRIUM (n),"Denge, kararlılık","Balance, stability","Entropy is a physical property like temperature and pressure, and measures how close a system has come to reaching stagnant 'equilibrium'.","Entropi, sıcaklık ve basınç gibi fiziksel bir özelliktir ve bir sistemin durağan kararlılığa ne kadar yaklaştığını ölçer.",21,-,-,0
409,EXCEED (v),EXCEED (v),"Aşmak, ileri gitmek","Go beyond, surpass",At present the number of known exoplanets exceeds 100.,Günümüzde bilinen güneş sistemi dışı gezegen sayısı 100'ü aşmaktadır.,21,-,-,0
410,FERTILIZE (v),FERTILIZE (v),"Gübrelemek, verimli kılmak","Compost, manure","The most fertile land is in the Pacific coast region, where volcanic ash has fertilized the soil.","En verimli yer, volkanik külün toprağı gübrelediği Pasifik sahilindeki bölgedir.",21,-,-,0
411,FRICTION (n),FRICTION (n),Sürtünme,"Rubbing, resistance","As atmospheric friction increases, the spacecraft will slow down and heat up.","Atmosferik sürtünme arttıkça, uzay aracı yavaşlar ve ısınır.",21,-,-,0
412,HUGE (adj),HUGE (adj),"Muazzam, devasa, çok büyük","Enormous, vast, gigantic, massive",Scientific mysteries and huge surprises await all space explorers.,Tüm uzay kaşiflerini bilimsel sırlar ve muazzam sürprizler beklemektedir,21,-,-,0
413,INSECTICIDE (n),INSECTICIDE (n),Böcek ilacı,Pesticide,"Insecticide gets into the plants' pollen and nectar, and thus into bees","Böcek ilaçları bitkilerin polen ve nektarına, dolayısıyla da arılara bulaşır.",21,-,-,0
414,PRECIOUS (adj),PRECIOUS (adj),"Kıymetli, değerli","Valuable, costly, expensive",Wooden construction means a big trouble for some of the world's most precious ecosystems.,"Ahşap inşaa, dünyanın en kıymetli ekosistemlerinin bazıları için büyük bir sorun demektir.",21,-,-,0
415,REFUSE (v),REFUSE (v),"Geri çevirmek, reddetmek","Reject, rebuff, turn down","Throughout his life, he refused to join the scientific community.","Hayatı boyunca, bilim camiasına katılmayı reddetti.",21,-,-,0
416,SANITATION (n),SANITATION (n),Sıhhi temizlik,"Hygiene, cleanliness",Millions of people face with water shortages and poor sanitation.,Milyonlarca insan su kıtlığı ve uygun olamayan sıhhi temizlik ile karşı karşıyadır.,21,-,-,0
417,SPACE SHUTTLE (n phr),SPACE SHUTTLE (n phr),Uzay mekiği,Spacecraft,"For future missions, NASA has designed a new space shuttle.",Gelecekteki görevler için NASA yeni bir uzay mekiği tasarladı,21,-,-,0
418,STRIKE (v/n),STRIKE (v/n),"Vurmak, çarpmak, etkilemek, darbe, çarpma","Beat, hit","A comet may, at some point in the future, strike Earth.",Gelecekte bir noktada bir kuyruklu yıldız dünyaya çarpabilir.,21,-,-,0
419,SUSTAINABILITY (n),SUSTAINABILITY (n),"Sürdürülebilirlik, doğal denge",Maintaining an ecological balance,Sustainability policies were formulated by developed countries.,Sürdürülebilirlik politikaları gelişmiş ülkelerce oluşturuldu.,21,-,-,0
420,VAPOUR (n),VAPOUR (n),"Buhar, buğu","Steam, haze, fume",Water vapour is the most common greenhouse gas in the atmosphere.,"Su buharı, atmosferdeki en bilinen sera gazıdır.",21,-,-,0
421,ACCOUNT FOR (phr v),ACCOUNT FOR (phr v),"Oluşturmak, tekabül etmek","Constitute, comprise, make up",Hydrogen accounts for about 90% of the atoms in the universe.,"Hidrojen, evrendeki atomların yaklaşık% 90'ını oluşturur.",22,-,-,0
422,ADVOCATE (v),ADVOCATE (v),"Savunmak, destek olmak","Support, counsel, back up","The 'liquid protein' diet, advocated for weight loss, caused many deaths.","Kilo kaybı için savunulan ""sıvı protein"" diyeti birçok ölümüne neden oldu",22,-,-,0
423,ASSUMPTION (n),ASSUMPTION (n),"Sanı, farzetme, varsayım","Supposition, postulation, hypothesis",Harvey hurricane is a failure of the assumption that we'll adapt to climate change.,Harvey kasırgası iklim değişikliğine adapte olacağımız varsayımının bir yanlışıdır,22,-,-,0
424,COPPER (n),COPPER (n),Bakır,Reddish-brown metal,They've managed to make copper that is both strong and pliable.,Hem güçlü hem de yumuşak olan bakırı yapmayı başardılar.,22,-,-,0
425,DEFORESTATION (n),DEFORESTATION (n),Ormansızlaşma,The action of clearing a wide area of trees,Deforestation contributes to increasing atmospheric methane levels.,"Ormansızlaşma, atmosferdeki metan seviyesinin artmasına sebep olur.",22,-,-,0
426,DIVERSIFY (v),DIVERSIFY (v),"Çeşitlenmek, çeşitlendirmek, farklılaştırmak","Branch out, vary, expand",Microbial life diversified very early in Earth history.,"Mikrobik yaşam, Dünya tarihinin çok erken dönemlerinde çeşitlendi.",22,-,-,0
427,DOUBTFUL (adj),DOUBTFUL (adj),"Şüpheli, kuşkulu","Unsure, uncertain",Whether the stem cells themselves could be a source of fertile oocytes grown in the lab is doubtful.,Kök hücrelerin kendilerinin laboratuarda yetiştirilen verimli bir ovosit kaynağı olabileceği şüphelidir,22,-,-,0
428,ERRONEOUS (adj),ERRONEOUS (adj),"Yanlış, hatalı","Mistaken, flawed, wrong",These tests are not always black and white; technology can yield erroneous results,Bu testler her zaman siyah ve beyaz değildir; teknoloji hatalı sonuçlar verebilir.,22,-,-,0
429,FORECAST (v),FORECAST (v),"Tahmin etmek, öngörmek","Predict, foresee, estimate, guess",They've forecasted high temperatures and unpredictable winds.,Yüksek sıcaklıkları ve öngörülemeyen rüzgarları tahmin ettiler.,22,-,-,0
430,HARVEST (v),HARVEST (v),"Hasat etmek, toplamak, yakalamak","Collect, catch",It is illegal to harvest coral in protected areas.,Korunan alanlarda mercan toplamak yasadışıdır.,22,-,-,0
431,IDENTICAL (adj),IDENTICAL (adj),"Aynı, ayırt edilemez, özdeş","Same, indistinguishable",Biologists may produce genetically identical animals for experimentation,Biyologlar deney için genetik açıdan aynı olan hayvanlar üretebilir.,22,-,-,0
432,IMMIGRATION (n),IMMIGRATION (n),Göç,Arrival of settlers in a new country,"Individuals enter a population by birth and by moving in, that is, by immigration.","Bireyler doğumla ve taşınmayla, yani göçle bir nüfusa dahil olurlar.",22,-,-,0
433,INTEND (v),INTEND (v),"Niyet etmek, hedeflemek, planlamak","Aim, plan, mean",The company also intends to clear the soil around the factory.,Şirket ayrıca fabrika çevresindeki toprağı temizlemeyi de planlıyor.,22,-,-,0
434,INTENSE (adj),INTENSE (adj),"Yoğun, şiddetli","Extreme, intensified",Global warming has led to more intense storms.,"Küresel ısınma, daha şiddetli fırtınalara yol açtı.",22,-,-,0
435,INVISIBLE (adj),INVISIBLE (adj),"Görünmez, gizli","Unseen, hidden, concealed",The collision of two galaxies provides the best evidence yet obtained of the invisible dark matter assumed to dominate the mass of the universe.,"İki galaksinin çarpışması, evrenin kütlesine hükmettiği sanılan görünmez kara maddenin bugüne kadar elde edilen en iyi kanıtını sağlar.",22,-,-,0
